Utheta:0,Utheta:1,Utheta:2,theta,arc_length
0.000251258,0,0,0.861104,0.0282
0.000251137,0,0,0.86059,0.02825
0.000251015,0,0,0.860072,0.0283
0.000250892,0,0,0.859551,0.02835
0.000250768,0,0,0.859027,0.0284
0.000250644,0,0,0.8585,0.02845
0.000250518,0,0,0.85797,0.0285
0.000250391,0,0,0.857437,0.02855
0.000250263,0,0,0.856902,0.0286
0.000250135,0,0,0.856362,0.02865
0.000250005,0,0,0.855821,0.0287
0.000249874,0,0,0.855275,0.02875
0.000249743,0,0,0.854726,0.0288
0.000249611,0,0,0.854175,0.02885
0.000249476,0,0,0.85362,0.0289
0.000249342,0,0,0.853062,0.02895
0.000249206,0,0,0.852501,0.029
0.00024907,0,0,0.851937,0.02905
0.000248933,0,0,0.851369,0.0291
0.000248794,0,0,0.850798,0.02915
0.000248654,0,0,0.850224,0.0292
0.000248513,0,0,0.849645,0.02925
0.000248372,0,0,0.849064,0.0293
0.000248228,0,0,0.84848,0.02935
0.000248084,0,0,0.847892,0.0294
0.000247939,0,0,0.847301,0.02945
0.000247794,0,0,0.846705,0.0295
0.000247646,0,0,0.846107,0.02955
0.000247498,0,0,0.845505,0.0296
0.000247348,0,0,0.8449,0.02965
0.000247198,0,0,0.844291,0.0297
0.000247045,0,0,0.843678,0.02975
0.000246893,0,0,0.843063,0.0298
0.000246738,0,0,0.842443,0.02985
0.000246583,0,0,0.84182,0.0299
0.000246427,0,0,0.841192,0.02995
0.000246269,0,0,0.840562,0.03
0.00024611,0,0,0.839926,0.03005
0.00024595,0,0,0.839288,0.0301
0.000245789,0,0,0.838647,0.03015
0.000245626,0,0,0.838,0.0302
0.000245462,0,0,0.83735,0.03025
0.000245298,0,0,0.836697,0.0303
0.000245131,0,0,0.836039,0.03035
0.000244964,0,0,0.835377,0.0304
0.000244795,0,0,0.834712,0.03045
0.000244625,0,0,0.834042,0.0305
0.000244453,0,0,0.833369,0.03055
0.000244281,0,0,0.832691,0.0306
0.000244107,0,0,0.832009,0.03065
0.000243931,0,0,0.831323,0.0307
0.000243755,0,0,0.830633,0.03075
0.000243577,0,0,0.829939,0.0308
0.000243397,0,0,0.829241,0.03085
0.000243216,0,0,0.828537,0.0309
0.000243034,0,0,0.827831,0.03095
0.000242851,0,0,0.827119,0.031
0.000242665,0,0,0.826404,0.03105
0.000242479,0,0,0.825684,0.0311
0.00024229,0,0,0.82496,0.03115
0.000242101,0,0,0.824231,0.0312
0.00024191,0,0,0.823498,0.03125
0.000241717,0,0,0.822759,0.0313
0.000241524,0,0,0.822016,0.03135
0.000241328,0,0,0.82127,0.0314
0.000241131,0,0,0.820518,0.03145
0.000240933,0,0,0.819762,0.0315
0.000240733,0,0,0.819001,0.03155
0.000240531,0,0,0.818235,0.0316
0.000240329,0,0,0.817464,0.03165
0.000240124,0,0,0.816689,0.0317
